TransectName	Time	FallPrec
A_22_58 	1958	30.21999931
A_22_62 	1962	99.55999756
A_22_67 	1967	43.43000031
A_22_74 	1974	54.86000061
A_22_81 	1981	24.37999916
A_22_94 	1994	10.15999985
A_22_02 	2002	34.29000092
C_22_58 	1958	30.21999931
C_22_62 	1962	99.55999756
C_22_67 	1967	43.43000031
C_22_74 	1974	54.86000061
C_22_81 	1981	24.37999916
C_22_94 	1994	10.15999985
C_22_02 	2002	34.29000092
D_12_58 	1958	33.77999878
D_12_62 	1962	143.5099945
D_12_67 	1967	56.38000107
D_12_74 	1974	68.31999969
D_12_81 	1981	57.40000153
D_12_89 	1989	17.52000046
D_12_94 	1994	21.07999992
D_12_02 	2002	29.20999908
F_11_58 	1958	33.77999878
F_11_62 	1962	143.5099945
F_11_67 	1967	56.38000107
F_11_74 	1974	68.31999969
F_11_81 	1981	57.40000153
F_11_89 	1989	17.52000046
F_11_94 	1994	21.07999992
F_11_02 	2002	29.20999908
G_12_58 	1958	41.13999939
G_12_62 	1962	153.4100037
G_12_67 	1967	75.43000031
G_12_74 	1974	72.63999939
G_12_81 	1981	41.65000153
G_12_89 	1989	9.899999619
G_12_94 	1994	32
G_12_02 	2002	48.50999832
I_12_58 	1958	41.13999939
I_12_62 	1962	153.4100037
I_12_67 	1967	75.43000031
I_12_74 	1974	72.63999939
I_12_81 	1981	41.65000153
I_12_89 	1989	9.899999619
I_12_94 	1994	32
I_12_02 	2002	48.50999832
K_11_62 	1962	153.4100037
K_11_67 	1967	75.43000031
K_11_74 	1974	72.63999939
K_11_81 	1981	41.65000153
K_11_94 	1994	32
K_11_02 	2002	48.50999832
L_11_62 	1962	153.4100037
L_11_67 	1967	75.43000031
L_11_74 	1974	72.63999939
L_11_81 	1981	41.65000153
L_11_94 	1994	32
L_11_02 	2002	48.50999832
