SexParent	ArrivalTime	NegPerChick
Male	22.25	0.8
Male	22.38	0
Male	22.53	0.4
Male	22.56	0.4
Male	22.61	0.4
Male	22.65	0.4
Male	22.76	3.6
Female	22.9	0.8
Male	22.98	3.6
Female	23.07	0
Female	23.18	0
Female	23.28	0.6
Male	23.38	0
Male	23.43	0.6
Female	23.45	0.6
Male	23.68	1.2
Female	24	0
Male	24.21	0.8
Male	24.25	0
Male	24.58	1.4
Male	24.65	1.4
Male	24.95	0
Female	25.25	3.2
Male	25.75	1.4
Male	27.71	0
Female	27.85	1.4
Female	28.02	3.2
Male	28.82	1
Female	22.81	0.75
Male	23.2	0.5
Male	23.22	3.25
Female	23.23	3.25
Male	23.33	5.5
Male	23.36	0.5
Female	23.4	0.5
Male	23.45	0.5
Male	23.46	5.5
Female	23.5	3
Female	23.51	0
Female	23.53	3
Male	23.78	3
Male	23.88	0
Female	23.95	0
Female	24.35	0
Female	24.45	0
Male	26.3	0
Male	26.43	0
Male	27.1	0
Male	27.33	0
Male	27.55	0
Male	27.98	0
Female	22.08	1
Female	22.36	0
Female	22.46	0
Female	22.62	3.33333333
Female	22.83	6
Female	22.98	6
Female	23.1	0
Female	23.15	0
Female	23.56	0.66666667
Female	23.73	0.66666667
Female	23.95	1.33333333
Female	24.1	0
Female	24.21	0
Female	24.53	1
Female	24.78	2.33333333
Female	24.93	2.33333333
Female	25.03	4.33333333
Female	25.28	5.33333333
Female	25.63	4.66666667
Female	25.71	0
Female	25.82	0
Female	26.6	0
Female	27.28	0
Female	27.4	0
Female	27.5	0
Female	27.66	0
Female	27.66	0
Female	27.91	0
Female	28.58	0.33333333
Female	29.23	1
Male	22.36	5.75
Male	22.55	4.75
Male	22.66	4.75
Male	23.13	3.5
Female	23.26	4.5
Male	23.33	4.5
Male	23.58	3.5
Male	23.68	3.5
Male	23.82	1.5
Male	23.93	1.5
Male	24.63	3
Female	24.66	3
Male	24.88	3
Female	25.38	4.75
Male	25.5	0
Male	25.95	4.25
Male	26.65	0.75
Male	26.85	2.75
Male	27.06	0.5
Male	27.66	1.5
Male	22.35	0
Male	23.2	0
Female	23.88	0
Male	24.01	0
Male	24.76	0
Male	25.31	8.5
Male	25.98	0
Male	26.05	2.5
Male	27.53	2.5
Male	28.31	3.5
Male	22.76	0.66666667
Male	24.11	3
Female	25.15	2.33333333
Female	25.38	0.66666667
Male	25.63	1.33333333
Male	26.03	3
Male	26.3	1.66666667
Male	26.73	2
Male	28.43	1
Male	28.86	2.33333333
Female	28.98	1.66666667
Male	29.11	6.66666667
Male	22.01	0.8
Female	22.15	0.8
Male	22.26	2.8
Female	22.46	0
Female	22.51	0
Female	22.7	1.8
Male	22.85	2.8
Male	23.13	1.2
Male	23.3	0.4
Male	23.31	1.6
Female	23.7	0.4
Male	23.73	0
Male	23.76	1
Female	23.81	1
Male	24.05	0
Female	24.38	0
Female	24.43	0
Female	24.58	0
Female	24.65	0
Female	25.05	0
Female	25.61	0
Female	25.61	0.2
Male	26.28	0
Female	26.33	1
Female	26.48	1
Female	26.85	0.2
Female	27.5	2
Male	27.55	1.6
Female	28.26	0.4
Male	28.35	2
Male	28.7	0.4
Male	28.81	2.6
Male	28.9	2.6
Male	29.25	2.6
Male	23.25	0
Male	23.92	0.25
