SexParent	ArrivalTime	SiblingNegotiation
Male	22.25	4
Male	22.38	0
Male	22.53	2
Male	22.56	2
Male	22.61	2
Male	22.65	2
Male	22.76	18
Female	22.9	4
Male	22.98	18
Female	23.07	0
Female	23.18	0
Female	23.28	3
Male	23.38	0
Male	23.43	3
Female	23.45	3
Male	23.68	6
Female	24	0
Male	24.21	4
Male	24.25	0
Male	24.58	7
Male	24.65	7
Male	24.95	0
Female	25.25	16
Male	25.75	7
Male	27.71	0
Female	27.85	7
Female	28.02	16
Male	28.82	5
Female	22.81	3
Male	23.2	2
Male	23.22	13
Female	23.23	13
Male	23.33	22
Male	23.36	2
Female	23.4	2
Male	23.45	2
Male	23.46	22
Female	23.5	12
Female	23.51	0
Female	23.53	12
Male	23.78	12
Male	23.88	0
Female	23.95	0
Female	24.35	0
Female	24.45	0
Male	26.3	0
Male	26.43	0
Male	27.1	0
Male	27.33	0
Male	27.55	0
Male	27.98	0
Female	22.08	3
Female	22.36	0
Female	22.46	0
Female	22.62	10
Female	22.83	18
Female	22.98	18
Female	23.1	0
Female	23.15	0
Female	23.56	2
Female	23.73	2
Female	23.95	4
Female	24.1	0
Female	24.21	0
Female	24.53	3
Female	24.78	7
Female	24.93	7
Female	25.03	13
Female	25.28	16
Female	25.63	14
Female	25.71	0
Female	25.82	0
Female	26.6	0
Female	27.28	0
Female	27.4	0
Female	27.5	0
Female	27.66	0
Female	27.66	0
Female	27.91	0
Female	28.58	1
Female	29.23	3
Male	22.36	23
Male	22.55	19
Male	22.66	19
Male	23.13	14
Female	23.26	18
Male	23.33	18
Male	23.58	14
Male	23.68	14
Male	23.82	6
Male	23.93	6
Male	24.63	12
Female	24.66	12
Male	24.88	12
Female	25.38	19
Male	25.5	0
Male	25.95	17
Male	26.65	3
Male	26.85	11
Male	27.06	2
Male	27.66	6
Male	22.35	0
Male	23.2	0
Female	23.88	0
Male	24.01	0
Male	24.76	0
Male	25.31	17
Male	25.98	0
Male	26.05	5
Male	27.53	5
Male	28.31	7
Male	22.76	2
Male	24.11	9
Female	25.15	7
Female	25.38	2
Male	25.63	4
Male	26.03	9
Male	26.3	5
Male	26.73	6
Male	28.43	3
Male	28.86	7
Female	28.98	5
Male	29.11	20
Male	22.01	4
Female	22.15	4
Male	22.26	14
Female	22.46	0
Female	22.51	0
Female	22.7	9
Male	22.85	14
Male	23.13	6
Male	23.3	2
Male	23.31	8
Female	23.7	2
Male	23.73	0
Male	23.76	5
Female	23.81	5
Male	24.05	0
Female	24.38	0
Female	24.43	0
Female	24.58	0
Female	24.65	0
Female	25.05	0
Female	25.61	0
Female	25.61	1
Male	26.28	0
Female	26.33	5
Female	26.48	5
Female	26.85	1
Female	27.5	10
Male	27.55	8
Female	28.26	2
Male	28.35	10
Male	28.7	2
Male	28.81	13
Male	28.9	13
Male	29.25	13
Male	23.25	0
Male	23.92	1
Male	24.26	0
Male	24.3	0
Male	22.36	0
Male	22.45	0
Female	22.66	19
Male	22.68	19
Male	22.75	19
Female	22.76	8
Female	23.05	9
Male	23.48	1
Male	23.65	4
Male	23.8	3
Male	23.9	3
Male	24.05	6
Female	24.08	6
Male	24.25	6
Female	24.58	0
Female	24.68	0
Male	24.73	0
Male	25.11	3
Male	25.26	0
Male	26.36	4
Male	26.6	4
Male	26.71	4
Male	26.95	14
Male	27.1	5
Female	27.25	8
Male	27.38	16
Male	22.46	6
Female	22.83	9
Male	22.91	1
Male	23.08	11
Male	23.75	11
Male	23.91	12
Male	25.26	12
Male	25.56	2
Female	26.85	9
Male	28.78	0
Female	23.15	16
Female	23.25	16
Female	23.8	3
Female	24.05	0
Female	24.53	0
Male	24.55	0
Male	24.81	0
Female	24.85	5
Female	25.1	9
Female	25.8	10
Male	26.3	3
Male	27.23	0
Female	27.4	0
Male	27.61	0
Male	28.78	2
Female	22.51	6
Female	22.63	6
Female	22.68	2
Female	22.76	17
Female	22.91	3
Female	23.06	0
Female	23.28	0
Female	23.81	0
Female	23.96	0
Female	25.88	0
Female	26.78	0
Female	27.63	0
Female	28.26	0
Male	22.66	3
Female	23.11	9
Male	23.16	0
Female	23.41	0
Male	25.58	12
Male	25.9	0
Male	25.93	2
Female	26.16	11
Male	26.33	5
Male	26.56	3
Female	26.6	0
Female	26.75	3
Male	26.83	3
Female	26.98	0
Male	27.48	0
Female	27.51	0
Female	28	0
Male	28.8	0
Male	28.98	2
Male	21.78	0
Male	21.81	0
Male	22.3	3
Male	22.31	0
Male	22.51	10
Male	22.63	10
Male	23.06	10
Male	23.38	0
Male	23.41	0
Male	23.68	11
Male	24.03	0
Male	24.43	0
Male	26.55	0
Female	26.76	0
Male	27.45	0
Male	27.6	11
Male	28.26	6
Male	22.36	9
Female	22.38	23
Male	22.68	15
Male	22.76	2
Male	22.81	12
Male	22.9	12
Male	22.98	12
Female	23.03	0
Female	23.38	0
Female	23.45	0
Female	23.51	14
Male	23.56	14
Female	23.6	14
Male	24.25	2
Male	25.05	13
Female	25.1	0
Female	25.36	1
Male	26.2	0
Male	26.5	4
Female	26.61	8
Male	26.81	1
Male	26.85	0
Male	27.08	4
Female	27.16	0
Female	27.53	5
Female	28.03	8
Female	28.13	9
Male	28.26	7
Male	28.4	7
Male	22.31	16
Female	22.51	13
Male	22.55	13
Male	22.98	15
Male	23.01	14
Male	23.15	14
Female	23.25	6
Female	23.63	15
Male	23.66	15
Male	23.7	6
Female	24.4	0
Male	24.85	1
Female	25.13	0
Male	26.78	9
Male	26.93	9
Male	27.31	3
Male	28.58	2
Male	22.28	12
Female	22.53	6
Male	22.65	6
Male	22.73	13
Female	22.98	28
Male	23.35	0
Female	23.4	6
Male	23.86	0
Male	24.23	3
Female	24.31	2
Male	24.41	4
Female	24.48	4
Female	24.58	8
Male	24.63	8
Female	25.13	13
Male	25.53	7
Male	25.58	4
Female	25.63	0
Female	25.68	0
Male	25.86	12
Male	25.96	4
Male	26.06	17
Male	26.38	7
Male	26.53	5
Male	26.76	1
Male	27.38	0
Male	27.46	0
Male	22.7	6
Male	22.95	15
Male	23.11	17
Male	23.33	10
Female	23.55	2
Male	23.6	15
Male	23.63	2
Male	23.81	10
Male	24.05	0
Male	24.06	7
Male	24.08	7
Male	24.2	7
Male	24.3	15
Male	24.35	5
Male	24.43	5
Male	24.48	15
Male	24.61	19
Male	24.66	0
Male	24.7	19
Male	24.81	12
Male	24.85	10
Male	24.9	12
Male	24.96	10
Male	25.03	20
Male	25.1	20
Female	25.36	7
Male	25.38	7
Male	25.55	22
Male	25.73	22
Male	25.9	4
Female	26.55	14
Male	26.83	4
Female	26.91	0
Male	26.93	0
Male	27.23	2
Male	27.43	0
Male	27.56	12
Male	27.83	4
Female	28.3	2
Male	28.38	2
Female	28.86	1
Female	22.23	3
Female	22.26	24
Male	22.5	24
Male	22.51	14
Male	22.58	14
Male	22.6	14
Male	22.61	14
Female	22.63	14
Male	22.66	14
Male	22.78	14
Male	22.86	14
Female	22.93	14
Male	23.1	0
Male	23.4	0
Female	23.78	0
Female	23.8	0
Male	25.7	3
Male	25.83	0
Male	26.23	6
Male	26.41	17
Male	27.25	5
Male	27.53	0
Male	27.73	0
Male	27.96	3
Female	21.76	11
Female	22.13	17
Female	22.28	17
Female	22.38	2
Male	22.4	12
Female	22.61	12
Male	22.73	13
Female	22.85	10
Female	22.96	16
Male	23.08	15
Male	23.1	12
Male	23.43	11
Male	23.65	0
Female	23.65	0
Male	23.7	7
Female	23.83	6
Male	23.96	6
Male	24.11	0
Female	24.13	0
Male	24.2	5
Male	24.41	5
Male	24.56	7
Female	24.73	2
Male	24.9	32
Male	24.93	6
Male	25.08	32
Female	25.16	5
Female	25.2	7
Male	25.2	7
Male	25.45	5
Female	25.51	0
Male	25.68	3
Male	25.76	7
Female	25.8	14
Female	26	6
Male	26	6
Male	26	14
Male	26.03	0
Female	26.1	0
Male	26.28	13
Female	26.4	13
Male	26.55	0
Female	26.63	4
Male	26.75	4
Male	26.8	0
Male	26.98	0
Male	27.13	10
Female	27.31	10
Female	27.83	6
Male	28.03	2
Female	28.25	0
Female	28.86	0
Male	22.08	6
Female	22.15	6
Female	22.61	8
Male	22.63	8
Female	22.71	8
Male	22.78	8
Male	22.88	7
Female	23.01	15
Male	23.03	8
Female	23.1	8
Female	23.35	0
Male	23.43	0
Male	23.68	1
Male	24.1	8
Male	24.35	5
Male	24.48	5
Male	25	7
Male	25.05	10
Male	25.26	14
Female	25.35	0
Female	25.36	14
Male	25.51	0
Male	25.85	0
Male	26.31	0
Male	27.53	0
Female	22.01	6
Female	22.06	0
Male	22.26	10
Male	22.35	18
Male	22.38	18
Male	22.48	18
Male	22.5	18
Male	22.58	11
Male	22.7	7
Male	22.95	11
Male	23.78	9
Male	24.05	6
Male	24.31	6
Female	25.06	0
Male	25.33	0
Male	25.35	1
Female	28.2	7
Female	22.13	1
Female	22.43	16
Male	22.46	16
Female	22.83	2
Male	22.85	2
Female	23.03	26
Male	23.35	1
Male	23.55	8
Female	23.6	8
Male	23.81	13
Male	24.01	2
Female	24.23	15
Male	24.43	8
Female	24.45	0
Male	24.55	10
Male	24.93	6
Male	24.95	7
Male	25.8	2
Male	26	2
Male	26.01	17
Male	26.16	11
Male	26.33	13
Female	27.1	4
Male	27.11	0
Female	27.4	6
Female	27.63	26
Male	22.86	6
Female	23.85	3
Male	26	6
Male	27.96	1
Female	22.51	2
Male	22.51	2
Female	22.55	12
Female	23.03	0
Female	23.03	1
Male	23.3	2
Female	23.35	6
Female	23.61	1
Female	23.66	9
Female	23.85	8
Female	24.06	6
Female	24.38	0
Female	24.38	0
Female	25.11	4
Female	25.3	0
Female	25.36	3
Female	26.16	5
Female	26.83	0
Male	27.25	0
Female	27.43	1
Female	27.43	9
Female	27.71	12
Female	27.91	8
Female	22.05	16
Female	22.43	1
Male	22.73	12
Female	22.9	25
Male	23.2	16
Female	23.45	20
Male	23.73	23
Female	24.15	2
Female	24.36	11
Female	24.5	11
Male	24.6	3
Male	24.93	18
Female	25.28	5
Female	25.8	1
Male	25.86	1
Female	26.1	8
Male	27.66	0
Female	27.76	11
Female	27.93	11
Female	21.71	10
Female	21.73	10
Female	21.91	17
Male	21.93	17
Female	21.95	17
Male	21.96	6
Female	22.18	19
Male	22.28	4
Male	22.3	31
Male	22.5	31
Male	22.56	10
Female	22.6	23
Male	22.6	23
Male	22.9	15
Male	23.25	0
Female	23.46	6
Female	23.53	1
Female	23.63	1
Male	24	9
Male	24.31	6
Male	24.56	8
Male	24.73	10
Male	25.25	4
Female	25.41	11
Female	25.56	9
Female	25.76	14
Male	26.15	13
Male	26.76	22
Male	27.23	7
Female	27.25	7
Male	28.45	5
Female	28.86	15
Male	29.21	10
Female	29.23	0
