Sample	Month	GSI
1	1	10.4432
2	1	9.8331
3	1	9.7356
4	1	9.3107
5	1	8.9926
6	1	8.7707
7	1	8.2576
8	1	7.4045
9	1	7.2156
10	2	6.8372
11	1	6.3882
12	6	6.3672
13	2	6.2998
14	1	6.0726
15	6	5.8395
16	6	5.807
17	6	5.7774
18	1	5.7757
19	5	5.6484
20	5	5.6141
21	5	5.6017
22	6	5.551
23	5	5.311
24	5	5.297
25	6	5.2253
26	6	5.1667
27	6	5.1405
28	6	5.1292
29	6	5.0782
30	6	5.0612
31	5	5.0097
32	6	4.9745
33	6	4.9172
34	2	4.9041
35	5	4.9009
36	6	4.8783
37	5	4.7918
38	6	4.7862
39	5	4.7681
40	6	4.6603
41	6	4.6148
42	6	4.6108
43	6	4.5811
44	6	4.5528
45	5	4.4897
46	6	4.4573
47	5	4.3419
48	5	4.2968
49	5	4.2676
50	6	4.2048
51	6	4.1981
52	6	4.1006
53	6	4.0654
54	5	3.9219
55	5	3.9197
56	5	3.9141
57	5	3.5899
58	6	3.5008
59	5	3.2541
60	6	3.2487
61	6	3.2304
62	5	3.2263
63	6	3.1848
64	5	3.13
65	6	2.9683
66	5	2.9544
67	6	2.939
68	5	2.9327
69	6	2.8933
70	6	2.8593
71	5	2.8534
72	6	2.8188
73	6	2.8129
74	6	2.8037
75	6	2.7928
76	5	2.7601
77	5	2.6601
78	6	2.6492
79	5	2.6353
80	5	2.6341
81	5	2.6241
82	5	2.6151
83	5	2.6064
84	5	2.5951
85	4	2.5781
86	5	2.5674
87	5	2.5616
88	6	2.5545
89	5	2.5526
90	6	2.499
91	6	2.4789
92	6	2.4606
93	5	2.4559
94	6	2.4425
95	5	2.4356
96	5	2.4238
97	5	2.4145
98	6	2.4062
99	5	2.4038
100	6	2.402
101	6	2.4006
102	5	2.3993
103	5	2.3976
104	5	2.3923
105	5	2.3882
106	6	2.3848
107	5	2.3847
108	5	2.3746
109	5	2.3731
110	5	2.3723
111	5	2.3714
112	6	2.3496
113	6	2.3495
114	5	2.3282
115	5	2.3251
116	5	2.322
117	6	2.3018
118	5	2.3011
119	5	2.3
120	6	2.286
121	5	2.2739
122	5	2.2397
123	5	2.2392
124	5	2.2346
125	5	2.2333
126	5	2.2233
127	5	2.2004
128	5	2.187
129	5	2.1861
130	6	2.1664
131	5	2.1595
132	3	2.1571
133	6	2.1351
134	5	2.1322
135	5	2.0922
136	5	2.0816
137	4	2.0776
138	5	2.0694
139	5	2.0692
140	5	2.0688
141	5	2.058
142	5	2.0413
143	3	2.0259
144	5	2.0219
145	6	2.0017
146	5	1.9842
147	5	1.9821
148	4	1.9814
149	4	1.9621
150	5	1.9606
151	5	1.9531
152	4	1.9021
153	6	1.8667
154	4	1.8623
155	5	1.8468
156	5	1.8295
157	6	1.8123
158	5	1.7984
159	4	1.7695
160	5	1.7658
161	4	1.7217
162	6	1.7187
163	6	1.6963
164	5	1.6953
165	5	1.6927
166	5	1.6779
167	3	1.6679
168	5	1.6669
169	5	1.616
170	4	1.6157
171	3	1.6
172	6	1.5894
173	5	1.5658
174	4	1.5652
175	5	1.5375
176	4	1.5303
177	5	1.5284
178	5	1.528
179	5	1.5168
180	5	1.5011
181	5	1.49
182	5	1.4554
183	4	1.4546
184	5	1.451
185	3	1.4418
186	5	1.437
187	5	1.4348
188	3	1.4332
189	4	1.4224
190	5	1.3878
191	3	1.3794
192	3	1.3694
193	5	1.3402
194	3	1.3306
195	3	1.3258
196	2	1.309
197	5	1.2717
198	1	1.261
199	5	1.2585
200	5	1.2556
201	5	1.2392
202	3	1.2091
203	3	1.2007
204	1	1.1997
205	3	1.1983
206	6	1.181
207	5	1.1784
208	3	1.1496
209	2	1.147
210	5	1.1318
211	3	1.1313
212	5	1.1275
213	5	1.1014
214	3	1.0964
215	5	1.0565
216	5	1.042
217	3	1.0419
218	5	1.04
219	5	1.0375
220	5	1.0286
221	3	1.0226
222	5	1.0218
223	3	1.0215
224	5	1.001
225	5	0.9874
226	5	0.9872
227	4	0.9868
228	2	0.9824
229	5	0.968
230	6	0.9612
231	3	0.9479
232	4	0.9418
233	5	0.9369
234	2	0.9219
235	3	0.9172
236	4	0.9
237	4	0.8954
238	3	0.8877
239	5	0.8876
240	5	0.8761
241	5	0.8734
242	5	0.8567
243	5	0.8398
244	1	0.8373
245	5	0.8111
246	3	0.799
247	5	0.7363
248	5	0.7354
249	3	0.7294
250	3	0.7004
251	3	0.6882
252	3	0.6839
253	3	0.6767
254	5	0.6748
255	1	0.6716
256	4	0.66
257	3	0.6459
258	5	0.6379
259	5	0.6268
260	5	0.6255
261	3	0.6212
262	4	0.5876
263	4	0.5798
264	1	0.5758
265	2	0.5685
266	5	0.5602
267	3	0.556
268	5	0.5558
269	5	0.5556
270	3	0.5533
271	1	0.5518
272	3	0.5493
273	5	0.5463
274	3	0.5444
275	2	0.5318
276	3	0.5307
277	6	0.5175
278	4	0.4943
279	1	0.4921
280	3	0.4832
281	1	0.4808
282	3	0.4774
283	2	0.4756
284	3	0.4653
285	5	0.4506
286	6	0.4377
287	4	0.4259
288	2	0.4132
289	4	0.3976
290	3	0.3905
291	3	0.3904
292	1	0.3828
293	4	0.3763
294	5	0.3759
295	5	0.3659
296	5	0.3541
297	4	0.343
298	3	0.3421
299	5	0.3392
300	5	0.3392
301	3	0.3352
302	1	0.3289
303	6	0.3267
304	2	0.3122
305	5	0.3117
306	4	0.3041
307	3	0.3039
308	3	0.3028
309	5	0.2986
310	3	0.2895
311	5	0.2878
312	2	0.287
313	4	0.2828
314	5	0.2786
315	5	0.2783
316	4	0.2773
317	1	0.2758
318	3	0.2739
319	2	0.2738
320	2	0.2683
321	3	0.265
322	5	0.2642
323	5	0.2641
324	5	0.2638
325	4	0.2636
326	2	0.26
327	2	0.2577
328	2	0.2529
329	1	0.2506
330	3	0.2463
331	6	0.2388
332	3	0.2352
333	2	0.2321
334	3	0.2316
335	2	0.2294
336	5	0.226
337	3	0.2252
338	5	0.2242
339	5	0.2219
340	2	0.2214
341	2	0.2207
342	2	0.2204
343	5	0.22
344	3	0.2199
345	6	0.2191
346	2	0.2189
347	3	0.2178
348	4	0.217
349	3	0.216
350	4	0.2156
351	4	0.2144
352	1	0.2092
353	3	0.2065
354	3	0.2061
355	5	0.2056
356	2	0.2046
357	5	0.2034
358	3	0.2028
359	2	0.2024
360	2	0.1985
361	5	0.1979
362	5	0.1938
363	4	0.1935
364	3	0.1893
365	3	0.1892
366	3	0.1887
367	3	0.1875
368	2	0.1859
369	4	0.1847
370	3	0.1842
371	2	0.1827
372	4	0.1815
373	1	0.1792
374	3	0.1782
375	5	0.1775
376	5	0.175
377	4	0.1714
378	4	0.1681
379	5	0.1681
380	4	0.1664
381	1	0.1661
382	2	0.1657
383	2	0.1654
384	3	0.164
385	2	0.1621
386	4	0.162
387	1	0.1618
388	2	0.1611
389	2	0.1589
390	3	0.1569
391	2	0.1555
392	2	0.1549
393	1	0.1543
394	1	0.1541
395	3	0.1516
396	6	0.1504
397	4	0.1503
398	5	0.1497
399	3	0.1492
400	1	0.149
401	3	0.1473
402	2	0.1472
403	2	0.1466
404	3	0.1465
405	3	0.1436
406	5	0.1433
407	3	0.1415
408	3	0.1412
409	2	0.1405
410	2	0.1402
411	2	0.1401
412	2	0.14
413	3	0.1399
414	5	0.1398
415	2	0.1395
416	2	0.1392
417	2	0.139
418	1	0.1379
419	3	0.137
420	5	0.1352
421	3	0.1347
422	2	0.1346
423	2	0.1344
424	1	0.134
425	3	0.1337
426	4	0.1336
427	1	0.133
428	4	0.132
429	6	0.1319
430	3	0.1318
431	1	0.1316
432	1	0.1307
433	3	0.1298
434	3	0.127
435	2	0.1261
436	2	0.1261
437	2	0.1239
438	2	0.1218
439	2	0.1218
440	3	0.1212
441	3	0.1205
442	3	0.1201
443	4	0.1191
444	3	0.1186
445	2	0.1181
446	1	0.1177
447	1	0.1169
448	1	0.1162
449	2	0.1121
450	3	0.11
451	4	0.1079
452	1	0.1069
453	1	0.1069
454	3	0.1067
455	3	0.1066
456	1	0.1061
457	4	0.1048
458	2	0.1025
459	2	0.1014
460	3	0.1006
461	1	0.0987
462	1	0.0969
