TransectName	SprPrec 	SumPrec 
A_22_58 	75.43000031	125.4700012
A_22_62 	56.13000107	94.98999786
A_22_67 	65.01999664	112.2600021
A_22_74 	58.66999817	70.34999847
A_22_81 	87.62999725	81.77999878
A_22_94 	57.15000153	95.25
A_22_02 	31.48999977	62.99000168
C_22_58 	75.43000031	125.4700012
C_22_62 	56.13000107	94.98999786
C_22_67 	65.01999664	112.2600021
C_22_74 	58.66999817	70.34999847
C_22_81 	87.62999725	81.77999878
C_22_94 	57.15000153	95.25
C_22_02 	31.48999977	62.99000168
D_12_58 	107.9499969	181.6100006
D_12_62 	73.40000153	125.7300034
D_12_67 	83.05000305	121.1500015
D_12_74 	65.77999878	88.63999939
D_12_81 	87.12000275	133.0899963
D_12_89 	101.3399963	120.1399994
D_12_94 	60.45000076	125.2200012
D_12_02 	36.06000137	72.38999939
F_11_58 	107.9499969	181.6100006
F_11_62 	73.40000153	125.7300034
F_11_67 	83.05000305	121.1500015
F_11_74 	65.77999878	88.63999939
F_11_81 	87.12000275	133.0899963
F_11_89 	101.3399963	120.1399994
F_11_94 	60.45000076	125.2200012
F_11_02 	36.06000137	72.38999939
G_12_58 	101.8499985	134.8699951
G_12_62 	118.6100006	161.7899933
G_12_67 	77.72000122	151.3800049
G_12_74 	23.87000084	91.44000244
G_12_81 	80.26000214	110.4899979
G_12_89 	107.9499969	119.1200027
G_12_94 	65.77999878	125.2200012
G_12_02 	77.47000122	108.7099991
I_12_58 	101.8499985	134.8699951
I_12_62 	118.6100006	161.7899933
I_12_67 	77.72000122	151.3800049
I_12_74 	23.87000084	91.44000244
I_12_81 	80.26000214	110.4899979
I_12_89 	107.9499969	119.1200027
I_12_94 	65.77999878	125.2200012
I_12_02 	77.47000122	108.7099991
K_11_62 	118.6100006	161.7899933
K_11_67 	77.72000122	151.3800049
K_11_74 	23.87000084	91.44000244
K_11_81 	80.26000214	110.4899979
K_11_94 	65.77999878	125.2200012
K_11_02 	77.47000122	108.7099991
L_11_62 	118.6100006	161.7899933
L_11_67 	77.72000122	151.3800049
L_11_74 	23.87000084	91.44000244
L_11_81 	80.26000214	110.4899979
L_11_94 	65.77999878	125.2200012
L_11_02 	77.47000122	108.7099991
