Name	Length	Width
1	3.5	5.1
2	3	4.9
3	3.2	4.7
4	3.1	4.6
5	3.6	5
6	3.9	5.4
7	3.4	4.6
8	3.4	5
9	2.9	4.4
10	3.1	4.9
11	3.7	5.4
12	3.4	4.8
13	3	4.8
14	3	4.3
15	4	5.8
16	4.4	5.7
17	3.9	5.4
18	3.5	5.1
19	3.8	5.7
20	3.8	5.1
21	3.4	5.4
22	3.7	5.1
23	3.6	4.6
24	3.3	5.1
25	3.4	4.8
26	3	5
27	3.4	5
28	3.5	5.2
29	3.4	5.2
30	3.2	4.7
31	3.1	4.8
32	3.4	5.4
33	4.1	5.2
34	4.2	5.5
35	3.1	4.9
36	3.2	5
37	3.5	5.5
38	3.6	4.9
39	3	4.4
40	3.4	5.1
41	3.5	5
42	2.3	4.5
43	3.2	4.4
44	3.5	5
45	3.8	5.1
46	3	4.8
47	3.8	5.1
48	3.2	4.6
49	3.7	5.3
50	3.3	5
51	3.2	7
52	3.2	6.4
53	3.1	6.9
54	2.3	5.5
55	2.8	6.5
56	2.8	5.7
57	3.3	6.3
58	2.4	4.9
59	2.9	6.6
60	2.7	5.2
61	2	5
62	3	5.9
63	2.2	6
64	2.9	6.1
65	2.9	5.6
66	3.1	6.7
67	3	5.6
68	2.7	5.8
69	2.2	6.2
70	2.5	5.6
71	3.2	5.9
72	2.8	6.1
73	2.5	6.3
74	2.8	6.1
75	2.9	6.4
76	3	6.6
77	2.8	6.8
78	3	6.7
79	2.9	6
80	2.6	5.7
81	2.4	5.5
82	2.4	5.5
83	2.7	5.8
84	2.7	6
85	3	5.4
86	3.4	6
87	3.1	6.7
88	2.3	6.3
89	3	5.6
90	2.5	5.5
91	2.6	5.5
92	3	6.1
93	2.6	5.8
94	2.3	5
95	2.7	5.6
96	3	5.7
97	2.9	5.7
98	2.9	6.2
99	2.5	5.1
100	2.8	5.7
101	3.3	6.3
102	2.7	5.8
103	3	7.1
104	2.9	6.3
105	3	6.5
106	3	7.6
107	2.5	4.9
108	2.9	7.3
109	2.5	6.7
110	3.6	7.2
111	3.2	6.5
112	2.7	6.4
113	3	6.8
114	2.5	5.7
115	2.8	5.8
116	3.2	6.4
117	3	6.5
118	3.8	7.7
119	2.6	7.7
120	2.2	6
121	3.2	6.9
122	2.8	5.6
123	2.8	7.7
124	2.7	6.3
125	3.3	6.7
126	3.2	7.2
127	2.8	6.2
128	3	6.1
129	2.8	6.4
130	3	7.2
131	2.8	7.4
132	3.8	7.9
133	2.8	6.4
134	2.8	6.3
135	2.6	6.1
136	3	7.7
137	3.4	6.3
138	3.1	6.4
139	3	6
140	3.1	6.9
141	3.1	6.7
142	3.1	6.9
143	2.7	5.8
144	3.2	6.8
145	3.3	6.7
146	3	6.7
147	2.5	6.3
148	3	6.5
149	3.4	6.2
150	3	5.9
